definition,present,present_1sg,imperfective,perfective,imperative,infinitive,consensus_stem,set_a_b,translocutive,partitive,distributive,stem_type,metathesis_strategy,metathesis_involved,ka_variant,uwa_3rd,aki_1st,3rd_person_object,multiple_explanations
he's becoming wise,khthohvsk,kathohvsk,khthohvsk,khthohvs,khthovhi,khthovhist,khthohvsk,a,False,False,False,con,none,False,False,False,False,False,True
1. he's closing it  2. he's jailing him,stuhvsk,stuhvsk,stuhvsk,stunh,stuhvka,stut,stuhvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's hitting him on the nose,yhvsteluhvsk,yvsteluhvsk,yhvsteluhvsk,yhvstelunh,yvsteluhvka,yhvsteluht,yhvsteluhvsk,a,False,False,False,con,none,False,False,False,False,True,True
"he's sending, taking it (animate)",akhahvsk,akhahvsk,akhahvsk,akhan,akhahvka,akhoht,akhahvsk,a,True,False,False,vowel_e,none,False,True,False,False,True,True
"he, it's burning",akohvsk,akohvsk,akohvsk,akonh,akonha,akohvst,akohvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"1. he's asking him a question., 2. he's asking a question",athvtvhvsk,athvtvhvsk,athvtvhvsk,athvtvnh,athvtvhvka,athvtht,athvtvhvsk,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's hiring him,nalhvsk,nalhvsk,nalhvsk,nalhvn,nalhvvka,nalhvt,nalhvsk,a,False,False,False,con,none,False,True,False,False,False,True
he's sandwiching it,stvhalhvsk,stvhalhvsk,stvhalhvsk,stvhalhan,stvhalhvka,stvhalht,stvhalhvsk,a,False,False,False,con,none,False,False,False,False,False,True
1. he's covering it 2. he's putting a lid on it,ulhvsk,ulhvsk,ulhvsk,ulhvn,ulhvvka,ulhvt,ulhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
"light a fire, match",tsislvsk,tsislvsk,tsislvsk,tsislan,tsislvka,tsislvst,tsislvsk,a,False,False,False,con,none,False,False,False,False,False,True
"he, it's growing",athvsk,atvsk,athvsk,athvs,athvhi,athvhist,athvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's enduring it (idiom),ethvsk,etvsk,ethvsk,ethin,ethvka,etht,ethvsk,a,False,False,True,vowel_e,none,False,True,False,False,False,True
"he's hiding him, it (flexible)",vskalvsk,vskalvsk,vskalvsk,vskalvn,vskalvvka,vskalvt,vskalvsk,a,False,False,False,vowel_v,none,False,True,False,False,True,True
"1.  he's breaking a flexible object, 2. He's cutting a flexible object",kalsk,kalsk,kalsk,kals,kala,kalst,kalsk,a,False,False,False,con,none,False,False,False,False,False,True
he's breaking a long object,skwalsk,skwalsk,skwalsk,skwals,skwala,skwalst,skwalsk,a,False,False,False,con,none,False,False,False,False,False,True
"he's pushing him, it",asatosk,asatosk,asatosk,asatoyh,asatoyha,asatost,asatosk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's nodding his head,alskusk,aliskusk,alskusk,alskuyh,alskuyha,alskust,alskusk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's splitting it,stlusk,stlusk,stlusk,stluyh,stluyha,stlust,stlusk,a,False,False,True,con,none,False,False,False,False,False,True
he's setting a trap,satvsk,satvsk,satvsk,satvn,satvvka,satvt,satvsk,a,False,False,False,con,none,False,False,False,False,False,True
1. he's bending it  2. she's hemming it,yhvhkwitvsk,yvhkwitvsk,yhvhkwitvsk,yhvhkwitvn,yhvhkwitvvka,yhvhkwitvt,yhvhkwitvsk,a,False,False,False,con,none,False,False,False,False,False,True
"1. he's hitching him, it up 2. he's hooking it up 3. he's plugging it in",utalvsk,utalvsk,utalvsk,utalvn,utalvvka,utalvt,utalvsk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's scolding him,kvskolvsk,kvskolvsk,kvskolvsk,kvskolvn,kvskolvvka,kvskolvt,kvskolvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's blinking,akhthanawsk,akathanawsk,akhthanawsk,akhthanaws,akhthanawha,akhthanawst,akhthanawsk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
it's flashing (reflected light),thoyawsk,,thoyawsk,thoyaws,,thoyawst,thoyawsk,a,False,False,False,con,none,False,False,False,False,False,True
he's getting well,atiwsk,atiwsk,atiwsk,atiws,atiwhi,atiwhist,atiwsk,b,False,False,False,vowel_a,none,False,False,False,False,False,True
he's sneezing,yhvstoysk,yhvstoysk,yhvstoysk,yhvstoyh,yhvstoyha,yhvstoyst,yhvstoysk,b,False,False,True,con,h_cons,True,False,False,False,False,True
he's chopping it,luysk,luysk,luysk,luyh,luyha,luyst,luysk,a,False,False,False,con,none,False,True,False,False,False,True
he's chopping it up,kvhaluysk,kvaluysk,kvhaluysk,kvhaluyh,kvhaluyha,kvhaluyst,kvhaluysk,a,False,False,False,con,none,False,False,False,False,False,True
it's raining,akask,,akask,akanhan,,akanht,akask,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's drilling a hole,thalesk,thalesk,thalesk,thales,thalaka,thalest,thalesk,a,False,False,False,con,none,False,False,False,False,False,True
he/it is going through it,khthvlesk,kathvlesk,khthvlesk,khthvles,khthvlehi,khthvlehist,khthvlesk,a,False,False,False,con,none,False,False,False,False,False,True
he's getting exhausted,asthayesk,asthayesk,asthayesk,asthayes,asthayehi,asthayehist,asthayesk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
"he's borrowing him, it",atholsk,atholsk,atholsk,athols,athola,atholhist,atholsk,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's finding it out,atelohosk,ateloosk,atelohosk,atelohos,atelohohi,atelohohist,atelohosk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's confronted with it,atlosk,atlosk,atlosk,atlos,atlohi,atlohist,atlosk,b,False,False,True,vowel_a,none,False,False,False,False,False,True
he's beating him at a game,lhosk,lhosk,lhosk,lhos,lhohi,lhohist,lhosk,a,False,False,False,con,none,False,False,False,False,False,True
he's becoming enraged,thalhawosk,thalhawosk,thalhawosk,thalhawos,thalhawohi,thalhawohist,thalhawosk,b,False,False,False,aspirated,none,False,False,False,False,False,True
it's getting warm,kanawosk,,kanawosk,kanawos,,kanawohist,kanawosk,a,False,False,False,con,none,False,False,False,False,False,True
1. he's becoming warm  2. he's warming himself,kanawosk,kanawosk,kanawosk,kanawos,kanawohi,kanawohist,kanawosk,b,False,False,False,con,none,False,False,False,True,False,True
it's melting,vnawosk,vnawosk,vnawosk,vnawos,vnawohi,vnawohist,vnawosk,a,False,False,False,vowel_v,none,False,True,False,False,False,True
"he's dying, (human)",yohusk,yousk,yohusk,yohus,yohuhi,yohuhist,yohusk,a,False,False,False,con,none,False,False,False,False,False,True
he's ascending an incline,nhalusk,nalusk,nhalusk,nhalus,nhaluhi,nhaluhist,nhalusk,a,False,False,False,con,h_cons,True,True,False,False,False,True
it's shattering,lhkhotvsk,,lhkhotvsk,lhkhotvnh,,,lhkhotvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's acting like him,atselvsk,atselvsk,atselvsk,atselvnh,atselvna,atselht,atselvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
it's blooming,tsilvsk,,tsilvsk,tsilvnh,,tsilht,tsilvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's making it,olhvsk,olhvsk,olhvsk,olhvnh,olhvna,olhvnht,olhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
"he's sleepy, he's going to sleep",lhvsk,lvsk,lhvsk,lhvnh,lhvna,lhvnht,lhvsk,a,False,False,False,con,none,False,True,False,False,False,True
he's dressing up,atsanvsk,atsanvsk,atsanvsk,atsanvnh,atsanvna,atsanvht,atsanvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's wrapping him, it",akwhenvsk,akwhenvsk,akwhenvsk,akwhenvnh,akwhenvna,akwhenvht,akwhenvsk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
"he's wounding him, it",sonvsk,sonvsk,sonvsk,sonvnh,sonvna,sonvst,sonvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's burning,leyvsk,leyvsk,leyvsk,leyvs,leyvhi,leyvhist,leyvsk,a,False,False,False,con,none,False,True,False,False,False,True
he's sewing it,yewsk,yewisk,yewsk,yews,yewa,yewst,yewsk,a,False,False,False,con,none,False,True,True,False,False,True
he's getting off,atloysk,atloysk,atloysk,atloys,atlohi,atlohist,atloysk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's drinking it,atithask,atithask,atithask,atithah,atitha,atithast,atithask,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's catching up with him, it",atlvthask,atlvthask,atlvthask,atlvthah,atlvtha,atlvthast,atlvthask,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's coughing,siwhask,siwhask,siwhask,siwhah,siwhahi,siwhahist,siwhask,b,False,False,False,s_stem,none,False,False,False,False,False,True
it's barking,asuwhisk,asuwhisk,asuwhisk,asuwhis,asuwha,asuwhist,asuwhisk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's painting it,suwhisk,suwhisk,suwhisk,suwhis,suwha,suwhist,suwhisk,a,False,False,False,con,none,False,False,False,False,False,True
it (a flexible object) is falling from a hanging position,atosk,atosk,atosk,atos,atohi,atohist,atosk,a,False,False,False,vowel_a,none,False,True,False,False,False,True
he's frolicking,anhetsosk,anetsosk,anhetsosk,anhetson,anhetsovka,anhetsot,anhetsosk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's going down hill,khsosk,kasosk,khsosk,khsos,khsohi,khsohist,khsosk,a,False,False,False,con,none,False,False,False,False,False,True
he's giving up,atayosk,atayosk,atayosk,atayos,atayohi,atayohist,atayosk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's squatting,atsilhusk,atsilhusk,atsilhusk,atsilhun,atsilhuka,atsilhust,atsilhusk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's taking a seat,alstvlhusk,alistvlhusk,alstvlhusk,alstvlhun,alstvlhuka,alstvlhust,alstvlhusk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he, it's howling, screaming, yelling, etc",elhuhvsk,eluhvsk,elhuhvsk,elhunh,elhuhvka,elhuhvst,elhuhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's being born,atehvsk,atevsk,atehvsk,atenh,atehvka,ateht,atehvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's standing in a certain spot,alehvsk,alevsk,alehvsk,alenh,alehvka,aleht,alehvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's getting up (from sitting or from involuntarily assumed prone position),alehvsk,alevsk,alehvsk,alenh,alehvka,aleht,alehvsk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's hitting him on the eye,khtheluhvsk,katheluhvsk,khtheluhvsk,khthelunh,katheluhvka,khtheluht,khtheluhvsk,a,False,False,False,con,none,False,False,False,False,True,True
"he's shaking him, it",thelvhvsk,thelvhvsk,thelvhvsk,thelvnh,thelvna,thelht,thelvhvsk,a,False,False,False,con,none,False,False,False,False,False,True
"he, it's moving (without changing location)",alhthelvhvsk,alithelvhvsk,alhthelvhvsk,alhthelvnh,alhthelvhvka,alhthelht,alhthelvhvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's shopping,atananesvhvsk,atananesvhvsk,atananesvhvsk,atananesvnh,atananesvhvka,atananesvhvst,atananesvhvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's eating a meal,alstayvhvsk,alistayvhvsk,alstayvhvsk,alstayvnh,alstayvhvka,alstayht,alstayvhvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he, it's destroying it",yosthanohvsk,yosthanohvsk,yosthanohvsk,yosthanonh,yosthanonha,yosthanohvst,yosthanohvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's preaching,alhtsatohvsk,alitsatohvsk,alhtsatohvsk,alhtsatonh,alhtsatohvka,alhtsatht,alhtsatohvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's playing,anelohvsk,anelohvsk,anelohvsk,anelonh,anelohvka,anelht,anelohvsk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's teaching,ateyohvsk,ateyohvsk,ateyhohvsk,ateyonh,ateyhohvka,ateyhoht,ateyohvsk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's fishing,asuhvsk,asuhvsk,asuhvsk,asunh,asuhvka,asuht,asuhvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
it's (the ground) becoming frosty,yhahthvhvsk,,yhahthvhvsk,yhahthvnh,,yhahthvtht,yhahthvhvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's hiding it,vskalhvsk,vskalhvsk,vskalhvsk,vskalhan,vskalhvka,vskalht,vskalhvsk,a,False,False,False,vowel_v,none,False,True,False,False,False,True
he's hiding,atiskalhvsk,atiskalhvsk,atiskalhvsk,atiskalhan,atiskalhvka,atiskalht,atiskalhvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's putting a handle on a tool,uhalhvsk,ualhvsk,uhalhvsk,uhalhan,uhalhvka,uhalht,uhalhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
1. he's advertising it  2. he's announcing it,notsalhvsk,notsalvsk,notsalhvsk,notsalhan,notsalhvka,notsalht,notsalhvsk,a,False,False,True,con,none,False,True,False,False,False,True
he's frying it,vtsalhvsk,vtsalhvsk,vtsalhvsk,vtsalhan,vtsalhvka,vtsalht,vtsalhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's contaminating it (with visible foreign matter),nhesalhvsk,nesalhvsk,nhesalhvsk,nhesalhan,nhesalhvka,nhesalht,nhesalhvsk,a,False,False,False,con,h_cons,True,True,False,False,False,True
he's soaking it (flexible object),vwalhvsk,vwalhvsk,vwalhvsk,vwalhan,vwalhvka,vwalht,vwalhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's collecting from him,nhilhvsk,nilhvsk,nhilhvsk,nhilhan,nilhvka,nhilht,nhilhvsk,a,False,False,False,con,h_cons,True,True,False,False,True,True
he's getting full,olhvsk,olvsk,olhvsk,olhvs,olhvhi,olhvhist,olhvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
"1. he's whittling it., 2. he's carving it., 3. he's hewing it",yolhvsk,yolvsk,yolhvsk,yolhan,yolhvka,yolhvst,yolhvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's putting on shoes,alasulhvsk,alasulhvsk,alasulhvsk,alasulhan,alasulhvka,alasulht,alasulhvsk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's drawing a line,stanvnhvsk,stanvnhvsk,stanvnhvsk,stanvnhan,stanvnhvka,stanvnht,stanvnhvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's hanging it up,athvsk,atvsk,athvsk,athan,athvka,atht,athvsk,a,False,False,False,vowel_a,none,False,True,False,False,False,True
he's diving,atethvsk,atetvsk,atethvsk,atethin,atethvka,atetht,atethvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's setting a post (or other long object) into the ground,ethvsk,etvsk,ethvsk,ethin,ethvka,etht,ethvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's putting it into a fire,vthvsk,vtvsk,vthvsk,vthan,vthvka,vtht,vthvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
He's putting fuel (solid) into a fire,hvthvsk,vthvsk,hvthvsk,hvthan,hvthvka,hvtht,hvthvsk,a,False,False,True,con,none,False,False,False,False,False,True
he's putting on glasses,akhthinvthvsk,akathinvthvsk,akhthinvthvsk,akhthinvthan,akhthinvthvka,akhthinvtht,akhthinvthvsk,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's piling it up,svthvsk,svthvsk,svthvsk,svthan,svthvka,svtht,svthvsk,a,False,False,False,con,none,False,True,True,False,False,True
he's building a fire,othvsk,otvsk,othvsk,othan,othvka,otht,othvsk,a,False,False,False,vowel_e,none,False,True,False,False,False,True
he's putting a ring on his finger,aliyesusthvsk,aliyesusthvsk,aliyesusthvsk,aliyesusthan,aliyesusthvka,aliyesusthvst,aliyesusthvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's turning on a light,tsvsthvsk,tsvsthvsk,tsvsthvsk,tsvsthan,tsvsthvka,tsvsthvst,tsvsthvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's mixing it in,asuyvsk,asuyvsk,asuyvsk,asuyvn,asuyvvka,asuyvt,asuyvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's ironing,thesk,thesk,thesk,thes,thvla,thest,thesk,a,False,False,True,con,none,False,False,False,False,True,True
"he's rowing, paddling",kawesk,kawesk,kawesk,kawes,kawehi,kawest,kawesk,a,False,False,False,con,none,False,True,True,False,False,True
he's scratching,atlakosk,atlakosk,atlakosk,atlakos,atlakola,atlakost,atlakosk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's scratching him, it",atsalikosk,atsalikosk,atsalikosk,atsalikos,atsalikola,atsalikost,atsalikosk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's amazed,skwanikosk,skwanikosk,skwanikosk,skwanikos,skwanikohi,skwanikohist,skwanikosk,a,False,False,False,con,none,False,False,False,False,False,True
he's digging it,askosk,askosk,askosk,askos,askola,askost,askosk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's embarrassed,atehosk,ateosk,atehosk,atehos,atehohi,atehohist,atehosk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
it's leaking,vkusk,,vkusk,vkus,,vkust,vkusk,a,False,False,False,vowel_v,none,False,True,False,False,False,True
he's ordering it,atanvsk,atanvsk,atanvsk,atanvs,atanvla,atanvst,atanvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
a long object is falling from an upright position,leyvsk,leyvsk,leyvsk,leyvs,leyvhi,leyvhist,leyvsk,a,False,False,False,con,none,False,True,False,False,False,True
he's sweeping it,vnosask,vnosask,vnosask,vnosah,vnosa,vnosast,vnosask,a,False,False,False,vowel_v,none,False,True,False,False,False,True
she's cooking a meal,atastayvhvsk,atastayvhvsk,atastayvhvsk,atastayvnh,atastayvhvka,atastayht,atastayvhvsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's quilting it,yhehkalhvsk,yehkalhvsk,yhehkalhvsk,yhehkalhan,yhehkalhvka,yhehkalht,yhehkalhvsk,a,False,False,False,con,none,False,False,False,False,False,True
"he's crossing (a road, bridge, etc.)",natiwsk,natiwsk,natiwsk,natiws,natiwhi,natiwhist,natiwsk,a,False,False,True,con,none,False,True,False,False,False,True
he's stinging it,atsvysk,atsvysk,atsvysk,atsvyh,atsvyha,atsvyst,atsvysk,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's clawing him,nhukosk,nukosk,nhukosk,nhukos,nukola,nhukost,nhukosk,a,False,False,True,con,h_cons,True,True,False,False,True,True
he's sucking it,skwanutsk,skwanutsk,skwanutsk,skwanuts,skwanutsa,skwanutst,skwanutsk,a,False,False,False,con,none,False,False,False,False,False,True
he's laughing,yetsk,yetsk,yetsk,yets,yetsa,yetst,yetsk,b,False,False,False,con,none,False,False,False,True,False,True
"he's dreaming about him, it",askitsk,askitsk,askitsk,askits,askitsa,askitst,askitsk,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's peeling it,yhahkhetsk,yahkhetsk,yhahkhetsk,yhahkhets,yhahkhetsa,yhahkhetst,yhahkhetsk,a,False,False,False,con,none,False,False,False,False,False,True
it's bending,lhiyvhkwitvsk,,lhiyvhkwitvsk,lhiyvhkwitvn,,lhiyvhkwitvt,lhiyvhkwitvsk,a,False,False,False,con,none,False,False,False,False,False,True
he's bragging,atlvkwhsk,atlvkwask,atlvkwhsk,atlvkwhs,atlvkwha,atlvkwhist,atlvkwhsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's spitting,altsikwhsk,altsikwhsk,altsikwhsk,altsikw,altsikwha,altsikwhst,altsikwhsk,a,False,False,False,vowel_a,none,False,False,False,False,False,True
He's choking on it,yhvhtsinvthk,yhvhtsinvthk,yhvhtsinvthk,yhvhtsinvts,yhvhtsinvthki,yhvhtsinvtst,yhvhtsinvthk,b,False,False,False,con,h_cons,True,False,False,False,False,True
"he's putting him inside, (somewhere large enough to move around)",yhtih,yvtih,yhtisk,yhthan,yvta,yhtoht,yhtih,a,False,False,False,con,none,False,False,False,False,True,True
He's mingling with a group,elatitohh,elatitoh,elatitohh,elatitolh,elatita,elatitasth,elatitohh,a,False,False,False,vowel_e,vowel,True,False,False,False,False,True
he has time,atlanvtateh,atlanvtateh,atlanvtateh,atlanvtatel,atlanvtatisi,atlanvtateht,atlanvtateh,b,False,False,False,vowel_a,none,False,False,False,False,False,True
he's yawning,halhokeh,halhokeh,halhokesk,halhokeh,halhokvla,halhokeht,halhokeh,b,False,False,False,con,none,False,False,False,False,False,False
he's building a house,anheskeh,aneskeh,anheskesk,anheskeh,anheskvla,anheskeht,anheskeh,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's thanking him,alihelitsheh,alielitsheh,alihelitsheh,alihelitshel,alielitshisi,alihelitsheht,alihelitsheh,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's taking revenge against him,atletsheh,atletsheh,atletsheh,atletshel,atletshisi,atletsheht,atletsheh,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's working,lvwhistaneh,lvwhistaneh,lvwhistaneh,lvwhistanel,lvwhistasi,lvwhistaneht,lvwhistaneh,b,False,False,True,con,none,False,False,False,True,False,True
1. he's lonesome  2. he's homesick,hisohtaneh,hisohtaneh,hisohtaneh,hisohtanel,hisohtasi,,hisohtaneh,b,False,False,False,con,none,False,False,False,True,False,True
1. he's agreeing with him 2. he's vouching for him,ohiyhtaneh,oiyhtaneh,ohiyhtaneh,ohiyhtanel,oiyhtasi,ohiyhtaneht,ohiyhtaneh,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's permitting him,alskolhtaneh,aliskolhtaneh,alskolhtaneh,alskolhtanel,aliskolhtasi,alskolhtaneht,alskolhtaneh,a,False,False,False,vowel_a,none,False,False,False,False,True,True
"he's aching, hurting",ehistaneh,ehistaneh,ehistaneh,ehistanel,ehistasi,ehistaneht,ehistaneh,b,False,False,False,vowel_e,none,False,False,False,False,False,True
he's giving him a living thing,akhaneh,akhaneh,akhaneh,akhanel,akhasi,akhaneht,akhaneh,a,False,False,False,vowel_e,none,False,True,False,False,True,True
he's committing adultery,atayhoneh,atayoneh,atayhoneh,atayhonel,atayhonvla,atayhoneht,atayhoneh,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's doing it,atvneh,atvneh,atvneh,atvnel,atvka,atvnht,atvneh,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's giving him a flexible object,nvneh,nvneh,nvneh,nvnel,nvsi,nvneht,nvneh,a,False,False,False,con,none,False,True,False,False,True,True
it's happening to him,alstanheh,alstanheh,alstanheh,alstanhel,alstasi,alstanheht,alstanheh,b,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's fanning him, it",nhoyeh,noyeh,nhoyesk,nhoyeh,noyvla,nhoyeht,nhoyeh,a,False,False,False,con,h_cons,True,True,False,False,True,True
he's fanning himself,atanhoyeh,atanoyeh,atanhoyesk,atanhoyeh,atanhoyvla,atanhoyeht,atanhoyeh,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's stirring it,asuyeh,asuyeh,asuyesk,asuyeh,asuyvla,asuyeht,asuyeh,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's tying him, it up",alhvih,alvih,alhvih,alhvl,alvtsa,alhvst,alhvih,a,False,False,False,vowel_a,none,False,True,False,False,True,True
he's riding it (anything that can be straddled),akhilvtih,akhilvtih,akhilvtisk,akhilvthan,akhilvta,akhilvtoht,akhilvtih,a,False,False,False,vowel_a,none,False,False,False,False,True,True
"he's running over him, it",atinvtih,atinvtih,atinvtisk,atinvthan,atinvta,atinvtoht,atinvtih,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's bouncing it,atatinvtih,atatinvtih,atatinvtisk,atatinvthan,atatinvta,atatinvtoht,atatinvtih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's making him fall from an elevated psition,lonhtih,lonhtih,lonhtisk,lonhthan,lonhta,lonhtoht,lonhtih,a,False,False,False,con,none,False,True,False,False,False,True
"he's interpreting, translating it",anhelhtih,anelhtih,anhelhtisk,anhelhthan,anhelhta,anhelhtoht,anhelhtih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's taking turns with him,atanetliyvstih,atanetliyvstih,atanetliyvstisk,atanetliyvsthan,atanetliyvsta,atanetliyvstoht,atanetliyvstih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's waking him up,yeistih,yeistih,yeistisk,yeisthan,yeista,yeistoht,yeistih,a,False,False,False,con,none,False,False,False,False,False,True
"he's listening to it, him",athvtastih,athvtastih,athvtastisk,athvtasthan,athvtasta,athvtastoht,athvtastih,a,False,False,False,vowel_a,none,False,False,False,False,True,True
1. He's bluffing him. 2. he's deceiving him 3. he's tricking him,lonastih,lonastih,lonastisk,lonasthan,lonasta,lonastoht,lonastih,a,False,False,False,con,none,False,True,False,False,False,True
he's winking,akhthastih,akathastih,akhthastisk,akhthasthan,akhthasta,akhthastoht,akhthastih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's closing his eyes,akhthastih,akathastih,akhthastisk,akhthasthan,akhthasta,akhthastoht,akhthastih,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he has a chill,nhawastih,nhawastih,nhawastisk,nhawasthan,nhawasta,nhawastoht,nhawastih,b,False,False,False,con,h_cons,True,False,False,False,False,True
he's wringing it out,tsvwastih,tsvwastih,tsvwastisk,tsvwasthan,tsvwasta,tsvwastoht,tsvwastih,a,False,False,False,con,none,False,True,True,False,False,True
he's stretching,atayhastih,atayastih,atayhastisk,atayhasthan,atayhasta,atayhastoht,atayhastih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's dodging,atanvtistih,atanvtistih,atanvtitisk,atanvtisthan,atanvtista,atanvtistoht,atanvtistih,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's starting it,anhikistih,anikistih,anhikistisk,anhikisthan,anhikista,anhikistoht,anhikistih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's praying,atatolistih,atatolistih,atatolistisk,atatolisthan,atatolista,atatolistoht,atatolistih,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's pouring liquid into a container,tlistih,tlistih,tlistisk,tlisthan,tlista,tlistoht,tlistih,a,False,False,False,con,none,False,False,False,False,False,True
"he's slamming him, it",lvtvnistih,lvtvnistih,lvtvnistisk,lvtvnisthan,lvtvnista,lvtvnistoht,lvtvnistih,a,False,False,True,con,none,False,True,False,False,False,True
he's embarrassing him,atehohistih,ateohistih,atehohistisk,atehohisthan,ateohista,atehohistoht,atehohistih,a,False,False,False,vowel_a,none,False,False,False,False,True,True
he's turning it,teystih,teyastih,teystisk,teysthan,teysta,teystoht,teystih,a,False,False,False,con,none,False,True,True,False,False,True
he's spinning it,tikwalvteystih,tikwalvteystih,tikwalvteystisk,tikwalvteysthan,tikwalvteysta,tikwalvteystoht,tikwalvteystih,a,False,False,False,con,none,False,True,True,False,False,True
"he's releasing it, (involuntarily)",askalestih,askalestih,askalestisk,askalesthan,askalesta,askalestoht,askalestih,b,False,False,True,vowel_a,none,False,False,False,False,False,True
"1. he's drawing a picture of him, it; 2. he's photographing him, it",alhilostih,atlilostih,alhilostisk,alhilosthan,atlilosta,alhilostoht,alhilostih,a,False,False,True,vowel_a,none,False,False,False,False,True,True
"he's smothering him, it",hawostih,awostih,hawostisk,hawosthan,awosta,hawostoht,hawostih,a,False,False,False,con,none,False,False,False,False,True,True
