definition,present,imperfective,perfective,imperative,infinitive
he's getting full,kohlvsk,kohlvsk,uwohlvs,hohlvhi,uwohlvhist
"1. he's whittling it., 2. he's carving it., 3. he's hewing it",ayohlvsk,ayohlvsk,uyohlan,hiyohlvka,uyohlvst
he's putting on shoes,talasuhlvsk,talasuhlvsk,tulasuhlan,thalasuhlvka,tsulasuhlt
he's drawing a line,astanvhnvsk,astanvhnvsk,ustanvhnan,histanvhnvka,ustanvnht
he's hanging it up,kathvsk,kathvsk,uthan,hathvka,utht
he's diving,atethvsk,atethvsk,utethin,hatethvka,utetht
he's setting a post (or other long object) into the ground,kethvsk,kethvsk,uwethin,hethvka,uwetht
he's putting it into a fire,kvthvsk,kvthvsk,uwvthan,hvthvka,uwvtht
He's putting fuel (solid) into a fire,tahvthvsk,tahvthvsk,tuhvthan,thihvthvka,tsuhvtht
he's putting on glasses,takhthinvthvsk,takhthinvthvsk,tukhthinvthan,thakhthinvthvka,tsukhthinvtht
he's piling it up,kasvthvsk,kasvthvsk,uwasvthan,hisvthvka,uwasvtht
he's building a fire,kothvsk,kothvsk,uwothan,hothvka,uwotht
he's putting a ring on his finger,aliyesusthvsk,aliyesusthvsk,uliyesusthan,haliyesusthvka,uliyesusthvst
he's turning on a light,atsvsthvsk,atsvsthvsk,utsvsthan,hitsvsthvka,utsvsthvst
he's mixing it in,asuyvsk,asuyvsk,usuyvn,hasuyvvka,usuyvt
he's ironing,tathesk,tathesk,tuthes,thithvla,tsuthest
"he's rowing, paddling",kakawesk,kakawesk,uwakawes,hikawehi,uwakawest
he's scratching,atlakosk,atlakosk,utlakos,hatlakola,utlakost
"he's scratching him, it",katsalikosk,katsalikosk,uwatsalikos,hiyatsalikola,uwatsalikost
he's amazed,askwanikosk,askwanikosk,uskwanikos,hiskwanikohi,uskwanikohist
he's digging it,askosk,askosk,uskos,haskola,uskost
he's embarrassed,atehosk,atehosk,utehos,hatehohi,utehohist
it's leaking,kvkusk,kvkusk,uwakus,,uwakust
he's ordering it,atanvsk,atanvsk,utanvs,hatanvla,utanvst
a long object is falling from an upright position,kaleyvsk,kaleyvsk,uleyvs,hileyvhi,uleyvhist
he's sweeping it,kvnosask,kvnosask,uwanosah,hvnosa,uwanosast
she's cooking a meal,atastayvhvsk,atastayvhvsk,utastayvhn,hatastayvhvka,utastayht
he's putting a flexible object in a hole or in a container,kalvsk,kalvsk,ulvn,hilvvka,ulvt
he's quilting it,ahyehkahlvsk,ahyehkahlvsk,uhyehkahlan,hihyehkahlvka,uhyehkahlt
"he's crossing (a road, bridge, etc.)",tekanatiwsk,tekanatiwsk,tunatiws,thinatihwi,tsunatihwist
he's stinging it,katsvysk,katsvysk,uwatsvhy,hiyatsvhya,uwatsvyst
he's smoking it,kokhsk,kokhsk,uwokhs,hoki,uwokhst
he's clawing him,tekhanukosk,tekhanukosk,tuhnukos,thinukola,tsuhnukost
he's sucking it,askwanuthsk,askwanuthsk,uskwanuths,hiskwanuthsa,uskwanuthst
he's laughing,uyethsk,uyethsk,uyeths,tsayethsa,uyethst
"he's dreaming about him, it",askithsk,askithsk,uskiths,hiyaskithsa,uskithst
he's peeling it,ahyahkhethsk,ahyahkhethsk,uhyahkheths,hihyahkhethsa,uhyahkhethst
it's bending,ahliyvhkwitvsk,ahliyvhkwitvsk,uhliyvhkwitvn,,uhliyvhkwitvt
he's bragging,atlvkhwsk,atlvkhwsk,utlvkhws,hatlvkhwa,utlvkhwist
he's spitting,altsikhwsk,altsikhwsk,ultsikw,haltsikhwa,ultsikhwst
He's choking on it,uhyvhtsinvthk,uhyvhtsinvthk,uhyvhtsinvths,tshayvhtsinvthki,uhyvhtsinvthst
"he's putting him inside, (somewhere large enough to move around)",ayhtih,ayhtisk,uyhthan,hiyvta,uyhtoht
He's mingling with a group,khelatitoh,khelatitoh,uhwelatitol,helatita,uhwelatitast
he has time,utlanvtateh,utlanvtateh,utlanvtatel,tsatlanvtatisi,utlanvtateht
he's yawning,uhahlokeh,uhahlokesk,uhahlokeh,tsahahlokvla,uhahlokeht
he's building a house,ahneskeh,ahneskesk,uhneskeh,hahneskvla,uhneskeht
he's thanking him,alihelitsheh,alihelitsheh,ulihelitshel,hiyalielitshisi,ulihelitsheht
he's taking revenge against him,atletsheh,atletsheh,utletshel,hiyatletshisi,utletsheht
he's working,tulvhwistaneh,tulvhwistaneh,tulvhwistanel,titsalvhwistasi,tsulvhwistaneht
1. he's lonesome  2. he's homesick,uhisohtaneh,uhisohtaneh,uhisohtanel,tsahisohtasi,
1. he's agreeing with him 2. he's vouching for him,kohiyhtaneh,kohiyhtaneh,uwohiyhtanel,hiyoiyhtasi,uwohiyhtaneht
he's permitting him,alskohltaneh,alskohltaneh,ulskohltanel,hiyaliskohltasi,ulskohltaneht
"he's aching, hurting",uwehistaneh,uwehistaneh,uwehistanel,tsehistasi,uwehistaneht
he's giving him a living thing,kakhaneh,kakhaneh,uwakhanel,hiyakhasi,uwakhaneht
he's committing adultery,atahyoneh,atahyoneh,utahyonel,hatahyonvla,utahyoneht
he's doing it,atvneh,atvneh,utvnel,hatvka,utvnht
he's giving him a flexible object,kanvneh,kanvneh,unvnel,hinvsi,unvneht
he's giving it to him,ahneh,ahneh,uhnel,hivsi,uhneht
it's happening to him,ulstahneh,ulstahneh,ulstahnel,tsalstasi,ulstahneht
"he's fanning him, it",khanoyeh,khanoyesk,uhnoyeh,hinoyvla,uhnoyeht
he's fanning himself,atahnoyeh,atahnoyesk,utahnoyeh,hatahnoyvla,utahnoyeht
he's stirring it,asuyeh,asuyesk,usuyeh,hasuyvla,usuyeht
he has a nosebleed,kika tekhayvskwoih,kika tekhayvskwoih,kika tuhyvskwol,kika thihyvskwotsa,kika tsuhyvskwoist
"he's tying him, it up",kahlvih,kahlvih,uhlvl,hiyalvtsa,uhlvst
he's saying it,atih,atisk,utvhn,hata,utht
he's riding it (anything that can be straddled),akhilvtih,akhilvtisk,ukhilvthan,hiyakhilvta,ukhilvtoht
"he's running over him, it",atinvtih,atinvtisk,utinvthan,hiyatinvta,utinvtoht
he's bouncing it,atatinvtih,atatinvtisk,utatinvthan,hatatinvta,utatinvtoht
he's making him fall from an elevated psition,kalonhtih,kalonhtisk,ulonhthan,hilonhta,ulonhtoht
"he's interpreting, translating it",ahnehltih,ahnehltisk,uhnehlthan,hahnehlta,uhnehltoht
he's taking turns with him,atanetliyvstih,atanetliyvstisk,utanetliyvsthan,hatanetliyvsta,utanetliyvstoht
he's waking him up,ayeistih,ayeistisk,uyeisthan,hiyeista,uyeistoht
"he's listening to it, him",athvtastih,athvtastisk,uthvtasthan,hiyathvtasta,uthvtastoht
1. He's bluffing him. 2. he's deceiving him 3. he's tricking him,kalonastih,kalonastisk,ulonasthan,hilonasta,ulonastoht
he's winking,akhthastih,akhthastisk,ukhthasthan,hakhthasta,ukhthastoht
he's closing his eyes,takhthastih,takhthastisk,tukhthasthan,thakhthasta,tsukhthastoht
he has a chill,uhnawastih,uhnawastisk,uhnawasthan,tshanawasta,uhnawastoht
he's wringing it out,katsvwastih,katsvwastisk,uwatsvwasthan,hitsvwasta,uwatsvwastoht
he's stretching,atahyastih,atahyastisk,utahyasthan,hatahyasta,utahyastoht
he's dodging,tatanvtistih,tatanvtitisk,tutanvtisthan,thatanvtista,tsutanvtistoht
he's starting it,ahnikistih,ahnikistisk,uhnikisthan,hahnikista,uhnikistoht
he's praying,atatolistih,atatolistisk,utatolisthan,hatatolista,utatolistoht
he's pouring liquid into a container,atlistih,atlistisk,utlisthan,hitlista,utlistoht
"he's slamming him, it",tekalvtvnistih,tekalvtvnistisk,tulvtvnisthan,thilvtvnista,tsulvtvnistoht
he's embarrassing him,atehohistih,atehohistisk,utehohisthan,hiyateohista,utehohistoht
he's turning it,kateystih,kateystisk,uwateysthan,hiteysta,uwateystoht
he's spinning it,katikwalvteystih,katikwalvteystisk,uwatikwalvteysthan,hitikwalvteysta,uwatikwalvteystoht
"he's releasing it, (involuntarily)",tuskalestih,tuskalestisk,tuskalesthan,titsaskalesta,tsuskalestoht
"1. he's drawing a picture of him, it; 2. he's photographing him, it",tahlilostih,tahlilostisk,tuhlilosthan,thiyatlilosta,tsuhlilostoht
"he's smothering him, it",ahawostih,ahawostisk,uhawosthan,hiawosta,uhawostoht
"he's smothering, suffocating",uhawostih,uhawostisk,uhawosthan,tsahawosta,uhawostoht
he's holding his breath,athahwostih,athahwostisk,uthahwosthan,hathahwosta,uthahwostoht
"1. he's breaking it., 2. he's spoiling him",ayostih,ayostisk,uyosthan,hiyosta,uyostoht
he's being married,takatshvstih,takatshvstisk,takatshvsthan,witetsatshvsta,tsakatshvstoht
he's making him angry,khanalvstih,khanalvstisk,uhnalvsthan,hinalvsta,uhnalvstoht
he's vomiting,tukhstih,tukhstisk,tukhsthan,titsakhsta,tsukhstoht
it's (sun or moon) shining,akalih,akalisk,ukalis,,ukalihist
he's greeting him,ayolih,ayolih,uyolil,hiyolika,uyolist
"he's joking, he's teasing",kawehlih,kawehlisk,uwehlvhn,hiwehlvna,uwehlvht
he's speaking,kawonih,kawonisk,uwonis,hiwonihi,uwonihist
he's hitting him on the abdomen with a long object,askwohalvnih,askwohalvnih,uskwohalvnil,hiskwohalvnika,uskwohalvnist
he's hitting him on the head with a long object,askwalvnih,askwalvnih,uskwalvnil,hiskwalvnika,uskwalvnist
he's hitting him on the mouth,ahulvnih,ahulvnih,uhulvnil,hiulvnika,uhulvnist
"he's slapping him, it",asihthvnih,asihthvnih,usihthvnil,hiyasihthvnika,usihthvnist
he's beating him up,kalvhnih,kalvhnih,ulvhnil,hilvnhka,ulvnst
he's changing his socks,taliyosih,taliyosih,tuliyosvh,thaliyosa,tsuliyosvht
he hates him,kanikwathih,kanikwathih,unikwathihl,hinikwathika,unikwathist
he's peeking through,akhthih,akhthisk,ukhthahn,hakhtha,ukhthoht
he has a cold,uhyvtla uniyih,uhyvtla uniyisk,uhyvtla uniyvh,uhyvtla witsaniya,uhyvtla uniyht
he's looking around,akhthenoh,akhthenoh,ukhthenol,hikhthenaka,ukhthenast
1. he's going around a curve  2. he's turning off the road  3. he's circling it,ateyoh,ateyoh,uteyol,hateyaka,uteyst
"he, it's spinning, rotating",atikwalvteyoh,atikwalvteyoh,utikwalvteyol,hatikwalvteyaka,utikwalvteyst
he's braiding it,asteyoh,asteyoh,usteyol,histeyaka,usteyot
he's looking for it (inanimate),uhyoh,uhyoh,uhyal,tsayhka,uyst
he's afraid,askah,askah,uskal,hiskaya,uskast
he's looking after him,takhanowatitoh,takhanowatitoh,tukhanowatitol,thikanowatita,tsukhanowatitast
"he's handling it, he has it in his hand",ahitoh,ahitoh,uhitol,hihita,uhitast
he's visiting him,ahwahthvhitoh,ahwahthvhitoh,uhwahthvhitol,hiwahthvhita,uhwahthvhitast
he's visiting,atahwahthvhitoh,atahwahthvhitoh,utahwahthvhitol,hatahwahthvhita,utahwahthvhitast
he's handling some liquid,kanhtsitoh,kanhtsitoh,unhtsitol,hinhtsita,unhtsitast
he's hunting,kanohalitoh,kanohalitoh,unohalitol,hinohalita,unohalitast
its taking time,ahliilitoh,ahliilitoh,uhliilitol,,uhliilitast
they are having a trial,tanatahilitoh,tanatahilitoh,tunatahilitol,titsatahilita,tsunatahilitast
he's handling a long object,kanitoh,kanitoh,uwanitol,hinata,uwanitast
he's handling a flexible object,kahnitoh,kahnitoh,uhnitol,hihnita,uhnitast
"he's tromping on him/it,   he's speaking badly of him",alastaeh,alastaesk,ulastaehl,hiyalastavla,ulastaeht
he's agitating liquid,kanhkwaeh,kanhkwaesk,unhkwaeh,hinhkwavla,unhkwaeht
"1. he's taking liquid from him, it  2. he's milking it (when used with unvdi)",kanekieh,kanekieh,unekiel,hinekisi,unekieht
he's disbelieving,utlasithveh,utlasithveh,utlasithvel,tsatlasithvsi,utlasithveht
he's paying him,akhwiyveh,akhwiyveh,ukhwiyvel,hiyakwiyvsi,ukhwiyveht
it's dripping,kaskwoih,kaskwoih,uwaskwol,,uwaskwoist
he's moaning,uliyetih,uliyetisk,uliyethan,tsaliyeta,uliyetoht
he's making a mistake,ulitastih,ulitastisk,ulitasthan,tsalitasta,ulitastoht
he's exploding it,athaskistih,athaskistisk,uthaskisthan,hathaskista,uthaskistoht
he's batting it,kostvnih,kostvnih,uwostvnil,hostvnika,uwostvnist
"he, it's rocking",tahlihkeh,tahlihkesk,tuhlihkeh,thahlihkvla,tsuhlihkeht
he's telling it,khanoheh,khanohesk,uhnohehl,hihnohvla,uhnoheht
he's conversing,tahlinoheh,tahlinohesk,tuhlinohehl,thahlinohvla,tsuhlinoheht
he's looking at himself in a mirror,atakheh,atakhesk,utakheh,hatakhvla,utakheht
he's saying to him,koseh,koseh,uwosel,hiyosi,uwoseht
"he's over-taking him, it",kalohiseh,kalohiseh,ulohisel,hiloisi,ulohiseht
he's losing it,uyohuseh,uyohuseh,uyohusel,tsayohusi,uyohuseht
he's thinking,atanhtheh,atanhthesk,utanhthehl,hatanhthvla,utanhtheht
"he's trimming it, (boy's hair, grass, hedge, but not paper, cloth)",astoyeh,astoyesk,ustoyeh,histoya,ustoyht
he's prying it,khanekwatih,khanekwatisk,uhnekwatvh,hihnekwata,uhnekwatht
he's placing a long object in an upright position,alehtih,alehtisk,ulehthan,halehta,ulehtoht
1. he's helping him up 2. he's standing it up (object with legs),talehtih,talehtisk,tulehthan,thiyaleta,tsulehtoht
"he's making it (round, long) fall",kohonhtih,kohonhtisk,uwohonhthan,hohonhta,uwohonhtoht
he's showing it to him,akowhthvhtih,akowhthvhtisk,ukowhthvhthan,hikowhthvhta,ukowhthvhtoht
he's melting it,kvnawhtih,kvnawhtisk,uwanawhthan,hvnawhta,uwanawhtoht
he's warming it,akanawhtih,akanawhtisk,ukanawhthan,hikanawhta,ukanawhtoht
1. he's making it crisp  2. he's starching it,astakayhtih,astakayhtisk,ustakayhthan,histakayhta,ustakayhtoht
he's rising from a prone position,atitih,atitisk,utitvh,hatita,utitht
"he's taking off flying, its flying away",ahlawitih,ahlawitisk,uhlawitvh,hahlawita,uhlawitht
"he's taking it (animal, flexible object) somewhere",kanawitih,kanawitisk,unawitvh,hinawita,unawitht
he's taking some liquid somewhere,kanehwitih,kanehwitisk,unehwitvh,hinehwita,unehwitht
he's taking a long object somewhere,ayvhwitih,ayvhwitisk,uyvhwitvh,hiyvhwita,uyvhwitht
he's putting it into a container,kahltih,kahltisk,uhlthan,hihlta,uhltoht
he's setting a price,takvwahltih,takvwahltisk,tukvwahlthan,thikvwahlta,tsukvwahltoht
he's attempting it,anehltih,anehltisk,unehlthan,hanehlta,unehltoht
"he's playing with him, it",tanehltih,tanehltisk,tunehlthan,thiyanehlta,tsunehltoht
he's lecturing him,kawonhtih,kawonhtisk,uwonhthan,hiwonhta,uwonhtoht
he's putting it on,nikvnhtih,nikvnhtisk,nuwanhthan,hnvnhta,iyuwanhtoht
he's stopping him/it,alehwistohtih,alehwistohtisk,ulehwistohthan,hiyalewistohta,ulehwistohtoht
"he is dropping him, it (flexible)",katohntih,katonhtisk,utonhthan,hiyatonhta,utonhtoht
he's using it,khtih,khtisk,uwhthan,hvhta,uwhtoht
he's staggering,tutokhtih,tutokhtisk,tutokhthan,titsatokhta,tsutokhtoht
he's deciding,tekukhtih,tekukhtisk,tuwukhthan,thukhta,tsuwukhtoht
he's snorting,ahliyvsanawstih,ahliyvsanawstisk,uhliyvsanawsthan,hahliyvsanawsta,uhliyvsanawstoht
"he's including him, it (in counting)",asestih,asestisk,usesthan,hiyasesta,usestoht
he's promising,athuistih,athuistisk,uthuisthan,hithuista,uthuistoht
he's mentioning it,khaneistih,khaneistisk,uhneistan,hihneista,uhneistoht
1. he's preparing it.  2. he's getting ready,atvnvistih,atvnvistisk,utvnvisthan,hatvnvista,utvnvistoht
"1. he's raising him, it., 2. he's growing it., (plant)",athvhistih,athvhistisk,uthvhisthan,hiyatvhista,uthvhistoht
he's stopping by (on his way somewhere),kalohistih,kalohistisk,ulohisthan,hilohista,ulohistoht
he's taking a break,ayohistih,ayohistisk,uyohisthan,hiyohista,uyohistoht
"he, it's making noise",atanohyvhlistih,atanohyvhlistisk,utanohyvhlisthan,hatanohyvhlista,utanohyvhlistoht
he's causing it to sound,kanohyvhlistih,kanohyvhlistisk,unohyvhlisthan,hinohyvhlista,unohyvhlistoht
he's cooking it (a specific food),kvhnistih,kvhnistisk,uwahnisthan,hvhnista,uwahnistoht
he/it is stopping,alehwistih,alehwistisk,ulehwisthan,halehwista,ulehwistoht
"he's burning him, it",akohvstih,akohvstisk,ukohvsthan,hiyakohvsta,ukohvstoht
"he's pressing down on him, it",asonstih,asonstisk,usonsthan,hiyasonsta,usonstoht
he's smelling it  (sniff),alsvstih,alsvstisk,ulsvsthan,halsvsta,ulsvstoht
he's taking off running,atanawstih,atanawstisk,utanawsthan,hatanawsta,utanawstoht
He's making an X,tatahnawstih,tatahnawstisk,tutahnawsthan,thatahnawsta,tsutahnawstoht
he's breaking it up,ayoistih,ayoistisk,uyoisthan,hiyoista,uyoistoht
he's loaning it to him,atholstih,atholstisk,utholsthan,hiyatholsta,utholstoht
"1. he's aiming at him, it  2 . he's aiming it",talsostih,talsostisk,tulsosthan,thiyalisosta,tsulsostoht
he's scheduling time,tasvstih,tasvstisk,tusvsthan,thisvsta,tsusvstoht
he's accusing him,kuhistih,kuhistisk,uwuhisthan,hiyuista,uwuhistoht
1. he's setting a goal 2.  he's aiming,alsostih,alsostisk,ulsosthan,halsosta,ulsostoht
he's sifting it,kvkustih,kvkustisk,uwakusthan,hvkusta,uwakustoht
he's resting,atawesolvstih,atawesolvstisk,utawesolvsthan,hatawesolvsta,utawesolvstoht
he's resting him,kawesolvstih,kawesolvstisk,uyawesolvsthan,hiyawesolvsta,uyawesolvstoht
he's straining it,khanvsolvstih,khanvsolvstisk,uhnvsolvsthan,hihnvsolvsta,uhnvsolvstoht
1. he's making smoke; 2. it's smoking,takhsvstih,takhsvstisk,tukhsvsthan,thikhsvsta,tsukhsvstoht
"he's making him, it fly",ahlawithtih,ahlawithtisk,uhlawithtan,hiyatlawithta,uhlawithtoht
he's shattering it,ahlkhothtih,ahlkhothtisk,uhlkhoththan,hahlkhothta,uhlkhothtoht
"he's killing him, it",ahih,ahih,uhl,hiluka,uhist
"he's counting it, them",tasehih,tasehih,tusehl,thaseka,tsusest
he's distributing it,ayathohih,ayathohih,uyathohl,hiyathohi,uyathohist
he's putting on a belt,atatlohih,atatlohih,utatlohl,hatatloka,utatlost
he's strapping it,katlohih,katlohih,uwatlohl,hitloka,uwatlost
1. he's tying up a leg 2. he's applying a break,kanvhlohih,kanvhlohih,unvhlohl,hinvhloka,unvhlost
"he's shooting him, it",ayohih,ayohih,uyohl,hiyoa,uyost
"1. he's pricking him, it  2. he's giving him an injection",katsayohih,katsayohih,uwatsayohl,hiyatsayoa,uwatsayost
he's asking for it,athayohih,athayohih,uthayohl,hithayoha,uthayost
he's pecking it,kakwayohih,kakwayohih,uwakwayohl,hiyakwayoa,uwakwayost
he's going to bed,usvhih,usvhih,usvhl,thsvha,usvst
he's entering it,ayvhih,ayvhih,uyvhl,hiyvha,uyvst
it's becoming crisp,astakayvhih,astakayvhih,ustakayvhl,,
"he's rolling him, it",kasakwalehih,kasakwalehih,uwasakwalehl,hiyasakwaleka,uwasakwalest
he's tying it,takhanehih,takhanehih,tukhanehl,thikhaneka,tsukhanest
he's wrestling,ahnehih,ahnehih,uhnehl,hahneka,uhnest
he's arguing,athiyohih,athiyohih,uthiyohl,hathiyoka,uthiyost
it's ripping,atatsakalih,atatsakalisk,utatsakalvh,hatatsakala,utatsakahlt
he's ripping it,katsakalih,katsakalisk,uwatsakalvh,hitsakala,uwatsakahlt
"he's cleaning him, it",kanvkalih,kanvkalisk,unvkalvh,hinvkala,unvkahlt
"he's peeling, skinning him, it",kanekalih,kanekalisk,unekalvh,hinekala,unekahlt
he's playing ball,alaskalih,alaskalisk,ulaskalvh,halaskala,ulaskahlt
"1. he's cutting it, 2. he's slicing it",akvhalih,akvhalisk,ukvhalvh,hikvhala,ukvhahlt
it's lightning,anakalih,anakalisk,unakalvh,,
he's helping him,astelih,astelisk,ustelvh,histela,ustehlt
he's helping,alstelih,alstelisk,ulstelvh,halstela,ulstehlt
he's acting silly,atvnelih,atvnelisk,utvnelvhn,hatvnela,utvnehlt
he wants it,utulih,utulisk,utulvh,tsatula,utuhlt
it's boiling,alitlih,alitlisk,ulitlvh,,ulihlt
he's rooting it out,khanastetlih,khanastetlisk,uhnastetlvh,hihnastetla,uhnastehlt
he's sharpening it,khtlih,khtlisk,uwhtlvh,hvhtla,uwhtlvht
he's shelling corn,takhthlih,takhthlisk,tukhthlvh,thikhthla,tsukhthlvht
"1. he's calling him, inviting him. 2. he's receiving, getting him",ahyanih,ahyanisk,uhyanvh,hiyana,uhyanht
he's starting/beginning,alenih,alenisk,ulenvh,halena,ulenht
it's beginning,atalenih,atalenisk,utalenvh,,utalenht
they are separating,tanakalenih,tanakalenisk,tunakalenvh,tistakalena,tsunakalenht
he's target practicing,akonih,akonisk,ukonvh,hakona,ukonht
he's spanking him,kalivhnih,kalivhnih,ulivhnil,hilivhnka,ulivhnst
he's shaking his head,alstvhnih,alstvhnih,ulstvhnil,halstvnhka,ulstvnht
"1. he's hitting, striking him, it 2. he's knocking",kvhnih,kvhnih,uwahnil,hiyvnika,uwanst
"he's mourning for him, it",askohnih,askohnih,uskohnil,hiskonhka,uskonst
1. he's withdrawing (a motion)  2. he's withdrawing (his candidacy)  3. he's pulling it out (a drawer),asesih,asesisk,usesvh,hasesa,usesvht
they are gathering,anatahlisih,anatahlisisk,unatahlisahn,itsatahlisa,unatahlisoht
he's gathering it,kahlisih,kahlisisk,uwahlisahn,hihlisa,uwahlisoht
he's burying him,kanisih,kanisisk,unisahn,hinisa,unisoht
he's explaining it (a Biblical text),tekosisih,tekosisisk,tuwosisahn,thosisa,tsuwosisoht
he's straightening it,katshinosih,katshinosisk,uwatshinosahn,hitshinosa,uwatshinosoht
he's recuperating,talehisih,talehisisk,tulehisahn,thalehisa,tsulehisoht
he's finding a flexible object,kanawhthih,kanawhthisk,unawhthvh,hinawhtha,unawhthvht
"he's stabbing him, it",kathih,kathih,uwathihl,hiyathika,uwathist
"he's finding him, it",ahwahthih,ahwahthisk,uhwahthvh,hiwahtha,uhwahthvht
he's finding some liquid,kanehwahthih,kanehwahthisk,unehwahthvh,hinehwahtha,unehwahthvht
he's finding a long object,ayvhwahthih,ayvhwahthisk,uyvhwahthvh,hiyvhwahtha,uyvhwahthvht
"he sees him, it",akowhthih,akowhthisk,ukoh,hikowahtha,ukowhthvht
it's snowing,kuthih,kuthisk,uwuthahn,,uwuthoht
"1. he's getting a long object., 2. he's picking up a long object",ayih,ayisk,uyvh,hiya,uyht
he's having a birthday,utethiyih,utethiyisk,utethiyvh,tsatethiya,utethiyht
he's paying,akhwiyih,akhwiyisk,ukhwiyvh,hakhwiya,ukhwiyht
1. he's catching him 2. he's arresting him 3. he's playing catcher,kaniyih,kaniyisk,uniyvh,hiniya,uniyht
"he's denying him, it",atahyih,atahyih,utahyil,hiyatayika,utayhst
he's crying,atlohyih,atlohyih,utlohyil,hatloyhka,utloyst
he's weeping,tatlohyih,tatlohyih,tutlohyil,tsutloysti,thatloyhka
he's untying it,takhanehyih,takhanehyisk,tukhanehyvh,thikhanehya,tsukhanehyvht
"he's feeding him, it",kehloh,kehloh,uwehlal,hiyeloka,uwelst
1. he's making an incision 2. he's operating on him,ahyehloh,ahyehloh,uhyehlal,hiyelaka,uhyelst
it's twisting,atanutheyoh,atanutheyoh,utanutheyol,hatanutheyaka,utanutheyot
"he's twisting him, it",kanutheyoh,kanutheyoh,unetheyol,hinutheyaka,unutheyast
he's looking for him,ahyoh,ahyoh,uhyal,hiyhka,uyst
he's building a fence,asohyoh,asohyoh,usohyal,hasoyhka,usoyst
he's cheating,kalonuheh,kalonuhesk,ulonuhehl,hilonuhvla,ulonuheht
he's taking a long object out of a container,kalih,kalisk,ulvh,hila,uhlt
he's drawing a liquid out of a container,atlih,atlisk,utlvh,hitla,utlvht
he's giving him a long  object,ateh,ateh,utel,hitisi,uteht
he's showing him,aseheh,aseheh,usehel,hiyasehisi,useheht
he's washing his hair,alstuleh,alstulesk,ulstuleh,halstula,ulstuhlt
he's giving him some liquid,kanehneh,kanehneh,unehnel,hinevsi,unehnet
he's taking it somewhere,ahwitih,ahwitisk,uhwitvh,hihwita,uhwitht
he's losing his way,ulenahih,ulenahih,ulenahl,tsalenaka,ulenast
he's choking him,ahyvskiyih,ahyvskiyisk,uhyvskiyvh,hiyvskiya,uhyvskiyht
"1. he's walking around., 2. he's here",etoh,etoh,uwetol,heta,uwetast
he's tossing about,kanvtsitoh,kanvtsitoh,unvtsitol,hinvtsita,unvtsitast
he's climbing around,kalitoh,kalitoh,ulitol,hilita,ulitast
"he's omitting him, it",khanohiyah,khanohiyask,uhnohiy,hinohiya,uhnohiyast
"he's putting out a fire, a light",khtlatih,khtlatisk,uwhtlat,hvhtlata,uwhtlatist
"1.  he's diverting him, it, 2. he's flagging him, it down",ahalukih,ahalukisk,uhalukis,hialuki,uhalukist
"he's touching him, it",asvhnih,asvhnih,usvhnil,hiyasvnhka,usvnst
"he's becoming, it's happening",nị²kạ²lsti²h,nị²kạ²lsti²skọ³ɂi,nu¹lstha²nv²³ɂi,hnạ²lsta³,ị²yu²lstoh²t
it (weather) is cold,uhyvtl,uhyvtl,uhyvtl,,
he's wearing shoes,tulasuhl,tulasuhl,tulasuhl,tetsalasuhlesti,
it's rattling,utsonath,utsonath,utsonath,hatsonathvka,utsonatht
he's waiting for him/it,akhthiy,akhthiy,ukhthit,hikathita,ukhthitist
he's looking at him/it,akhthost,akhthostisk,ukhthosthan,hiyakathosta,ukhthostoht
he's driving it (vehicle in motion or animal),ahil,ahilis,uhilvs,,uhilvst
he's crawling,atansin,atansinek,utansinvs,hatansinuka,utansinvst
he's leading him,athihn,athihnek,uthihnvs,hiyathihnuka,uthihnvst
he's heading in the direction of,wakhth,wakhth,wakhth,hwikhthesti,
